Reference, Value, Footprint, Datasheet,,,,,,Part,Pay-PCBs,Com-ssm,CDH,FlatSat?
C20,,Capacitors_SMD:C_0603,,,,,,,,,,,
R6,,Resistors_SMD:R_0603,,,,,,,,,,,
C14,C?,Capacitors_SMD:C_0603,,,,,,,,,,,
C25,,Capacitors_SMD:C_0603,,,,,,,,,,,
C23,,Capacitors_SMD:C_0603,,,,,,,,,,,
C18,,Capacitors_SMD:C_0603,,,,,,,,,,,
U7,,footprints:TSL237T,,,,,,,,,,,
U9,,TO_SOT_Packages_SMD:SOT-23-5,,,,,,,,,,,
R9,,Resistors_SMD:R_0603,,,,,,,,,,,
C22,,Capacitors_SMD:C_0603,,,,,,,,,,,
R17,,Resistors_SMD:R_0603,,,,,,,,,,,
D6,,footprints:SFH2430,,,,,,,,,,,
,,,,,,,,,,,,,
U1,,Housings_SSOP:SSOP-28_5.3x10.2mm_Pitch0.65mm,,,,,,,,,,,
J5,,footprints:Hirose_DF14-8P-1.25H,,,,,,,,,,,
C1,,Capacitors_SMD:C_0603,,,,,,,,,,,
R5,,Resistors_SMD:R_0603,,,,,,,,,,,
R6,,Resistors_SMD:R_0603,,,,,,,,,,,
R7,,Resistors_SMD:R_0603,,,,,,,,,,,
R9,,Resistors_SMD:R_0603,,,,,,,,,,,
R8,,Resistors_SMD:R_0603,,,,,,,,,,,
D1,,LEDs:LED_0603,,,,,,,,,,,
D2,,LEDs:LED_0603,,,,,,,,,,,
D3,,LEDs:LED_0603,,,,,,,,,,,
D4,,LEDs:LED_0603,,,,,,,,,,,
R1,,Resistors_SMD:R_0603,,,,,,,,,,,
R2,,Resistors_SMD:R_0603,,,,,,,,,,,
R3,,Resistors_SMD:R_0603,,,,,,,,,,,
R4,,Resistors_SMD:R_0603,,,,,,,,,,,
J1,LED_1,Socket_Strips:Socket_Strip_Straight_1x02_Pitch2.54mm,,,,,,,,,,,
J2,LED_2,Socket_Strips:Socket_Strip_Straight_1x02_Pitch2.54mm,,,,,,,,,,,
J3,LED_3,Socket_Strips:Socket_Strip_Straight_1x02_Pitch2.54mm,,,,,,,,,,,
J4,LED_4,Socket_Strips:Socket_Strip_Straight_1x02_Pitch2.54mm,,,,,,,,,,,
